skeleton_id,acs,ad,mc,mr,sh,syl,annotations_per_neuron
608253,incorrect,uncertain,uncertain,,uncertain,uncertain,5.0
608717,uncertain,,,correct,,,2.0
608721,correct,,,,,,1.0
608725,incorrect,,,,,,1.0
608729,correct,,,,,,1.0
608733,correct,,,,,,1.0
608737,correct,,,,,,1.0
608741,uncertain,,,incorrect,,,2.0
608745,uncertain,,,,,,1.0
608749,,,,,,,0.0
608753,,,,,,,0.0
608757,,,,,,,0.0
609230,,,,correct,,,1.0
609234,,,,correct,,,1.0
609238,,,,uncertain,,,1.0
609242,,,,correct,,,1.0
609246,,,,incorrect,,,1.0
609250,,,,correct,,,1.0
609254,,,,uncertain,,,1.0
609258,,,,uncertain,,,1.0
609262,,,,correct,,,1.0
609266,,,,uncertain,,,1.0
609270,,,,,,,0.0
609274,,,,,,,0.0
609278,,,,,,,0.0
